National Provider Identifier,Last Name/Organization Name of the Provider,First Name of the Provider,Middle Initial of the Provider,Credentials of the Provider,Street Address 1 of the Provider,Street Address 2 of the Provider,City of the Provider,Zip Code of the Provider,State Code of the Provider,Country Code of the Provider,Provider Type
1003041468,MOONEY,DEIRDRE,M,"MD, MPH",122 W 7TH AVE STE 450,,SPOKANE,992042339,WA,US,Advanced Heart Failure and Transplant Cardiology
1003120692,VIDIC,ANDRIJA,,D.O,2415 N ORANGE AVE STE 700,,ORLANDO,328045521,FL,US,Advanced Heart Failure and Transplant Cardiology
1013114461,OLEX,STEPHEN,T,M.D.,1469 8TH AVE,,BETHLEHEM,180182256,PA,US,Advanced Heart Failure and Transplant Cardiology
1023244639,AFARI-ARMAH,NANA,Y,MD,7600 CENTRAL AVE,,PHILADELPHIA,191112442,PA,US,Advanced Heart Failure and Transplant Cardiology
1083939607,VRANIAN,MICHAEL,N,,25 MONUMENT RD STE 200,,YORK,174035049,PA,US,Advanced Heart Failure and Transplant Cardiology
1114962131,JARCHO,JOHN,,MD,75 FRANCIS ST,,BOSTON,21156110,MA,US,Advanced Heart Failure and Transplant Cardiology
1134354723,FOX,ARIEH,,M.D.,425 W 59TH ST,,NEW YORK,100198022,NY,US,Advanced Heart Failure and Transplant Cardiology
1154527935,PIERETTI,JANICE,,M.D.,3400 CIVIC CENTER BLVD,,PHILADELPHIA,191045127,PA,US,Advanced Heart Failure and Transplant Cardiology
1245556547,HARYANI,ASHISH,,MD,800 BIESTERFIELD RD STE G01,,ELK GROVE VILLAGE,600073372,IL,US,Advanced Heart Failure and Transplant Cardiology
1366422438,OREN,RON,M,MD,202 10TH ST SE STE 225,,CEDAR RAPIDS,524032419,IA,US,Advanced Heart Failure and Transplant Cardiology
1396065249,GRINSTEIN,JONATHAN,,MD,110 IRVING ST NW FL 1,,WASHINGTON,200103017,DC,US,Advanced Heart Failure and Transplant Cardiology
1407882798,SAFIIA,MUHAMAD,A,MD,8075 N SHADELAND AVE STE 200,,INDIANAPOLIS,462502693,IN,US,Advanced Heart Failure and Transplant Cardiology
1417104837,KIM,PAUL,J,M.D.,200 W ARBOR DR,,SAN DIEGO,921039000,CA,US,Advanced Heart Failure and Transplant Cardiology
1417235003,TANNA,MONIQUE,S,M.D.,3400 CIVIC CENTER BLVD FL 11,,PHILADELPHIA,191045159,PA,US,Advanced Heart Failure and Transplant Cardiology
1518283282,ABDOU,MAHMOUD,H,MD,200 S ENOTA DR NE STE 200,,GAINESVILLE,305013466,GA,US,Advanced Heart Failure and Transplant Cardiology
1538390869,NALABOTHU,POORNA,L,MD,1160 E 3900 S STE 2000,,SALT LAKE CITY,841241236,UT,US,Advanced Heart Failure and Transplant Cardiology
1669615324,HSU,STEVEN,,M.D.,TOWER 110,600 NORTH WOLFE STREET,BALTIMORE,212870001,MD,US,Advanced Heart Failure and Transplant Cardiology
1699065805,MCCULLOCH,GARRY,O,M.D.,1267 HIGHWAY 54 W STE 2200,,FAYETTEVILLE,302142110,GA,US,Advanced Heart Failure and Transplant Cardiology
1730493222,BRIASOULIS,ALEXANDROS,,M.D.,200 HAWKINS DRIVE,,IOWA CITY,52242,IA,US,Advanced Heart Failure and Transplant Cardiology
1750602041,MANOLA,AKRIVI,,M.D.,411 LAUREL ST STE A250,,DES MOINES,503143029,IA,US,Advanced Heart Failure and Transplant Cardiology
1801020326,GILBERT,OLIVIA,N,MD,160 DENTAL CIR # 7075,"6TH FLOOR, BURNETT-WOMACK BUILDING",CHAPEL HILL,275997075,NC,US,Advanced Heart Failure and Transplant Cardiology
1821035114,JOHNSON,FRANCES,L,M.D.,411 LAUREL STREET,SUITE A250,DES MOINES,503143029,IA,US,Advanced Heart Failure and Transplant Cardiology
1871736413,SUBOC,TISHA MARIE,B,M.D.,1725 W HARRISON ST STE 1159,,CHICAGO,606123883,IL,US,Advanced Heart Failure and Transplant Cardiology
1972820058,UREY,MARCUS,A,MD,200 W ARBOR DR,,SAN DIEGO,921039000,CA,US,Advanced Heart Failure and Transplant Cardiology
1982920534,SPERRY,BRETT,W,MD,4330 WORNALL RD STE 2000,,KANSAS CITY,64111,MO,US,Advanced Heart Failure and Transplant Cardiology
